FPR,TPR
0.00000,0.00000
0.00000,0.01818
0.00000,0.18182
0.03030,0.18182
0.03030,0.21818
0.05051,0.21818
0.05051,0.30909
0.06061,0.30909
0.06061,0.38182
0.07071,0.38182
0.07071,0.40000
0.08081,0.40000
0.08081,0.49091
0.10101,0.49091
0.10101,0.56364
0.13131,0.56364
0.13131,0.58182
0.17172,0.58182
0.17172,0.61818
0.19192,0.61818
0.19192,0.63636
0.28283,0.63636
0.28283,0.65455
0.29293,0.65455
0.29293,0.69091
0.32323,0.69091
0.32323,0.70909
0.34343,0.70909
0.34343,0.72727
0.36364,0.72727
0.36364,0.74545
0.47475,0.74545
0.47475,0.76364
0.51515,0.76364
0.51515,0.78182
0.54545,0.78182
0.54545,0.80000
0.55556,0.80000
0.55556,0.81818
0.59596,0.81818
0.59596,0.83636
0.62626,0.83636
0.62626,0.85455
0.66667,0.85455
0.66667,0.87273
0.68687,0.87273
0.68687,0.89091
0.76768,0.89091
0.76768,0.92727
0.79798,0.92727
0.79798,0.94545
0.92929,0.94545
0.92929,0.96364
1.00000,0.96364
1.00000,1.00000
