FPR,TPR
0.00000,0.00000
0.00000,0.01818
0.00000,0.05455
0.01010,0.05455
0.01010,0.20000
0.03030,0.20000
0.03030,0.30909
0.04040,0.30909
0.04040,0.32727
0.05051,0.32727
0.05051,0.41818
0.10101,0.41818
0.10101,0.43636
0.11111,0.43636
0.11111,0.47273
0.13131,0.47273
0.13131,0.50909
0.14141,0.50909
0.14141,0.56364
0.16162,0.56364
0.16162,0.58182
0.17172,0.58182
0.17172,0.63636
0.22222,0.63636
0.22222,0.67273
0.24242,0.67273
0.24242,0.70909
0.29293,0.70909
0.29293,0.72727
0.31313,0.72727
0.31313,0.76364
0.37374,0.76364
0.37374,0.78182
0.38384,0.78182
0.38384,0.80000
0.41414,0.80000
0.41414,0.81818
0.44444,0.81818
0.44444,0.83636
0.45455,0.83636
0.45455,0.85455
0.47475,0.85455
0.47475,0.87273
0.56566,0.87273
0.56566,0.89091
0.57576,0.89091
0.57576,0.94545
0.67677,0.94545
0.67677,0.96364
0.79798,0.96364
0.79798,0.98182
0.84848,0.98182
0.84848,1.00000
1.00000,1.00000
