FPR,TPR
0.00000,0.00000
0.00000,0.01818
0.01010,0.03636
0.01010,0.05455
0.01010,0.20000
0.01010,0.21818
0.01010,0.30909
0.03030,0.41818
0.04040,0.45455
0.05051,0.45455
0.08081,0.50909
0.11111,0.52727
0.13131,0.54545
0.19192,0.60000
0.23232,0.65455
0.26263,0.70909
0.31313,0.70909
0.35354,0.74545
0.39394,0.80000
0.42424,0.81818
0.44444,0.81818
0.44444,0.83636
0.47475,0.83636
0.51515,0.83636
0.56566,0.89091
0.61616,0.89091
0.67677,0.96364
0.69697,0.98182
0.74747,0.98182
0.77778,1.00000
0.83838,1.00000
0.94949,1.00000
0.98990,1.00000
1.00000,1.00000
