FPR,TPR
0.00000,0.00000
0.00000,0.01818
0.00000,0.32727
0.03030,0.32727
0.03030,0.43636
0.04040,0.43636
0.04040,0.47273
0.06061,0.47273
0.06061,0.49091
0.07071,0.49091
0.07071,0.50909
0.08081,0.50909
0.08081,0.52727
0.10101,0.52727
0.10101,0.56364
0.11111,0.56364
0.11111,0.58182
0.14141,0.58182
0.14141,0.67273
0.15152,0.67273
0.15152,0.72727
0.17172,0.72727
0.17172,0.74545
0.19192,0.74545
0.19192,0.76364
0.22222,0.76364
0.22222,0.78182
0.23232,0.78182
0.23232,0.81818
0.25253,0.81818
0.25253,0.83636
0.26263,0.83636
0.26263,0.85455
0.40404,0.85455
0.40404,0.89091
0.52525,0.89091
0.52525,0.90909
0.58586,0.90909
0.58586,0.92727
0.60606,0.92727
0.60606,0.96364
0.98990,0.96364
0.98990,0.98182
1.00000,0.98182
1.00000,1.00000
