FPR,TPR
0.00000,0.00000
0.00000,0.01818
0.00000,0.29091
0.02020,0.29091
0.02020,0.32727
0.03030,0.32727
0.03030,0.41818
0.04040,0.41818
0.04040,0.50909
0.09091,0.50909
0.09091,0.52727
0.10101,0.52727
0.10101,0.56364
0.11111,0.56364
0.11111,0.58182
0.14141,0.58182
0.14141,0.61818
0.15152,0.61818
0.15152,0.72727
0.17172,0.72727
0.17172,0.76364
0.21212,0.76364
0.21212,0.78182
0.24242,0.78182
0.24242,0.83636
0.27273,0.83636
0.27273,0.85455
0.40404,0.85455
0.40404,0.87273
0.43434,0.87273
0.43434,0.89091
0.51515,0.89091
0.51515,0.90909
0.57576,0.90909
0.57576,0.92727
0.60606,0.92727
0.60606,0.96364
0.96970,0.96364
0.96970,0.98182
0.98990,0.98182
0.98990,1.00000
1.00000,1.00000
