FPR,TPR
0.00000,0.00000
0.00000,0.01818
0.00000,0.05455
0.02020,0.05455
0.02020,0.07273
0.04040,0.07273
0.04040,0.09091
0.08081,0.09091
0.08081,0.12727
0.12121,0.12727
0.12121,0.16364
0.14141,0.16364
0.14141,0.18182
0.17172,0.18182
0.17172,0.20000
0.18182,0.20000
0.18182,0.21818
0.20202,0.21818
0.20202,0.23636
0.21212,0.23636
0.21212,0.29091
0.23232,0.29091
0.23232,0.30909
0.25253,0.30909
0.25253,0.32727
0.26263,0.32727
0.26263,0.34545
0.28283,0.34545
0.28283,0.38182
0.29293,0.38182
0.29293,0.40000
0.32323,0.40000
0.32323,0.41818
0.33333,0.41818
0.33333,0.47273
0.38384,0.47273
0.38384,0.49091
0.42424,0.49091
0.42424,0.50909
0.45455,0.50909
0.45455,0.54545
0.46465,0.54545
0.46465,0.58182
0.48485,0.58182
0.48485,0.60000
0.52525,0.60000
0.52525,0.63636
0.53535,0.63636
0.53535,0.65455
0.54545,0.65455
0.54545,0.67273
0.60606,0.67273
0.60606,0.72727
0.68687,0.72727
0.68687,0.74545
0.71717,0.74545
0.71717,0.76364
0.72727,0.76364
0.72727,0.78182
0.74747,0.78182
0.74747,0.80000
0.75758,0.80000
0.75758,0.81818
0.77778,0.81818
0.77778,0.83636
0.82828,0.83636
0.82828,0.87273
0.89899,0.87273
0.89899,0.89091
0.90909,0.89091
0.90909,0.90909
0.93939,0.90909
0.93939,0.92727
0.95960,0.92727
0.95960,0.96364
1.00000,0.96364
1.00000,1.00000
