FPR,TPR
0.00000,0.00000
0.00000,0.01818
0.00000,0.20000
0.01010,0.20000
0.01010,0.30909
0.02020,0.30909
0.02020,0.34545
0.03030,0.34545
0.03030,0.43636
0.04040,0.43636
0.04040,0.45455
0.05051,0.45455
0.05051,0.47273
0.06061,0.47273
0.06061,0.49091
0.08081,0.49091
0.08081,0.54545
0.10101,0.54545
0.10101,0.56364
0.11111,0.56364
0.11111,0.61818
0.14141,0.61818
0.14141,0.63636
0.17172,0.63636
0.17172,0.65455
0.20202,0.65455
0.20202,0.72727
0.21212,0.72727
0.21212,0.76364
0.23232,0.76364
0.23232,0.78182
0.28283,0.78182
0.28283,0.80000
0.29293,0.80000
0.29293,0.81818
0.32323,0.81818
0.32323,0.83636
0.34343,0.83636
0.34343,0.85455
0.39394,0.85455
0.39394,0.87273
0.42424,0.87273
0.42424,0.89091
0.55556,0.89091
0.55556,0.90909
0.61616,0.90909
0.61616,0.92727
0.64646,0.92727
0.64646,0.94545
0.70707,0.94545
0.70707,0.96364
0.98990,0.96364
0.98990,0.98182
1.00000,0.98182
1.00000,1.00000
