FPR,TPR
0.00000,0.00000
0.00000,0.01818
0.00000,0.23636
0.01010,0.23636
0.01010,0.32727
0.03030,0.32727
0.03030,0.40000
0.04040,0.40000
0.04040,0.45455
0.05051,0.45455
0.05051,0.47273
0.06061,0.47273
0.06061,0.50909
0.08081,0.50909
0.08081,0.52727
0.09091,0.52727
0.09091,0.56364
0.11111,0.56364
0.11111,0.61818
0.17172,0.61818
0.17172,0.63636
0.18182,0.63636
0.18182,0.70909
0.19192,0.70909
0.19192,0.72727
0.20202,0.72727
0.20202,0.74545
0.21212,0.74545
0.21212,0.76364
0.25253,0.76364
0.25253,0.81818
0.30303,0.81818
0.30303,0.83636
0.34343,0.83636
0.34343,0.85455
0.39394,0.85455
0.39394,0.87273
0.43434,0.87273
0.43434,0.89091
0.57576,0.89091
0.57576,0.90909
0.58586,0.90909
0.58586,0.92727
0.60606,0.92727
0.60606,0.94545
0.65657,0.94545
0.65657,0.96364
0.98990,0.96364
0.98990,0.98182
1.00000,0.98182
1.00000,1.00000
