FPR_Class2,TPR_Class2
0.00000,0.00000
0.00000,0.00298
0.00040,0.00298
0.00040,0.00595
0.00200,0.00595
0.00200,0.01190
0.00240,0.01190
0.00240,0.01488
0.00280,0.01488
0.00280,0.01786
0.00320,0.01786
0.00320,0.02083
0.00340,0.02083
0.00340,0.02679
0.00379,0.02679
0.00379,0.03869
0.00419,0.03869
0.00419,0.04167
0.00459,0.04167
0.00459,0.05357
0.00479,0.05357
0.00479,0.05952
0.00519,0.05952
0.00519,0.06548
0.00539,0.06548
0.00539,0.06845
0.00559,0.06845
0.00559,0.07143
0.00579,0.07143
0.00579,0.07738
0.00639,0.07738
0.00639,0.08333
0.00679,0.08333
0.00679,0.08631
0.00699,0.08631
0.00699,0.09821
0.00719,0.09821
0.00719,0.11012
0.00759,0.11012
0.00759,0.11607
0.00779,0.11607
0.00779,0.11905
0.00799,0.11905
0.00799,0.12500
0.00859,0.12500
0.00859,0.13095
0.00919,0.13095
0.00919,0.13690
0.00959,0.13690
0.00959,0.14881
0.00979,0.14881
0.00979,0.15476
0.01019,0.15476
0.01019,0.16071
0.01039,0.16071
0.01039,0.16369
0.01258,0.16369
0.01258,0.16667
0.01278,0.16667
0.01278,0.16964
0.01318,0.16964
0.01318,0.17262
0.01358,0.17262
0.01358,0.17857
0.01398,0.17857
0.01398,0.18155
0.01438,0.18155
0.01438,0.18452
0.01458,0.18452
0.01458,0.18750
0.01498,0.18750
0.01498,0.19048
0.01578,0.19048
0.01578,0.19345
0.01598,0.19345
0.01598,0.19643
0.01638,0.19643
0.01638,0.20238
0.01738,0.20238
0.01738,0.20536
0.01758,0.20536
0.01758,0.20833
0.01778,0.20833
0.01778,0.21131
0.01797,0.21131
0.01797,0.21429
0.01877,0.21429
0.01877,0.21726
0.01917,0.21726
0.01917,0.22024
0.01937,0.22024
0.01937,0.22619
0.02037,0.22619
0.02037,0.22917
0.02057,0.22917
0.02057,0.23214
0.02197,0.23214
0.02197,0.23512
0.02357,0.23512
0.02357,0.23810
0.02417,0.23810
0.02417,0.24107
0.02556,0.24107
0.02556,0.25000
0.02656,0.25000
0.02656,0.25298
0.02716,0.25298
0.02716,0.25595
0.02776,0.25595
0.02776,0.25893
0.03056,0.25893
0.03056,0.26190
0.03076,0.26190
0.03076,0.26488
0.03156,0.26488
0.03156,0.27679
0.03255,0.27679
0.03255,0.27976
0.03415,0.27976
0.03415,0.28274
0.03575,0.28274
0.03575,0.29167
0.03635,0.29167
0.03635,0.29464
0.04034,0.29464
0.04074,0.29464
0.04074,0.29762
0.04234,0.29762
0.04234,0.30060
0.04274,0.30060
0.04274,0.30357
0.04434,0.30357
0.04434,0.30655
0.04554,0.30655
0.04554,0.30952
0.04634,0.30952
0.04634,0.31250
0.04753,0.31250
0.04753,0.31548
0.04993,0.31548
0.04993,0.31845
0.05013,0.31845
0.05013,0.32440
0.05073,0.32440
0.05073,0.32738
0.05093,0.32738
0.05093,0.33036
0.05113,0.33036
0.05113,0.33333
0.05193,0.33333
0.05193,0.33631
0.05333,0.33631
0.05333,0.34524
0.05472,0.34524
0.05472,0.34821
0.05652,0.34821
0.05652,0.35119
0.05932,0.35119
0.05932,0.35714
0.06091,0.35714
0.06091,0.36310
0.06351,0.36310
0.06351,0.36905
0.06391,0.36905
0.06391,0.37202
0.06451,0.37202
0.06451,0.37500
0.06531,0.37500
0.06531,0.37798
0.06611,0.37798
0.06611,0.38095
0.06790,0.38095
0.06790,0.38393
0.06870,0.38393
0.06870,0.38690
0.06990,0.38690
0.06990,0.38988
0.07070,0.38988
0.07070,0.39286
0.07090,0.39286
0.07090,0.39583
0.07410,0.39583
0.07410,0.39881
0.07629,0.39881
0.07629,0.40179
0.07689,0.40179
0.07689,0.40476
0.07869,0.40476
0.07869,0.41071
