FPR_Micro,TPR_Micro
0.00000,0.00000
0.00220,0.00000
0.00337,0.00000
0.00374,0.00000
0.00402,0.00000
0.00440,0.00000
0.00468,0.00000
0.00473,0.00000
0.00496,0.00000
0.00510,0.00000
0.00529,0.00019
0.00547,0.00019
0.00590,0.00019
0.00599,0.00019
0.00608,0.00037
0.00622,0.00037
0.00622,0.00056
0.00627,0.00094
0.00627,0.00112
0.00641,0.00131
0.00650,0.00131
0.00650,0.00150
0.00660,0.00187
0.00688,0.00187
0.00692,0.00187
0.00711,0.00225
0.00721,0.00225
0.00721,0.00262
0.00721,0.00281
0.00735,0.00281
0.00744,0.00299
0.00744,0.00393
0.00744,0.00412
0.00744,0.00449
0.00749,0.00468
0.00767,0.00487
0.00777,0.00487
0.00777,0.00505
0.00786,0.00505
0.00786,0.00524
0.00791,0.00524
0.00795,0.00543
0.00814,0.00580
0.00828,0.00599
0.00842,0.00636
0.00847,0.00655
0.00852,0.00655
0.00856,0.00692
0.00861,0.00692
0.00866,0.00730
0.00875,0.00749
0.00880,0.00749
0.00889,0.00767
0.00894,0.00805
0.00894,0.00824
0.00903,0.00842
0.00908,0.00842
0.00917,0.00917
0.00926,0.00917
0.00936,0.00936
0.00950,0.00992
0.00959,0.01011
0.00978,0.01011
0.00978,0.01029
0.00983,0.01029
0.00983,0.01048
0.00987,0.01048
0.00992,0.01067
0.01011,0.01067
0.01015,0.01104
0.01020,0.01123
0.01029,0.01123
0.01039,0.01142
0.01039,0.01160
0.01048,0.01198
0.01057,0.01235
0.01076,0.01273
0.01104,0.01273
0.01109,0.01273
0.01128,0.01273
0.01137,0.01291
0.01146,0.01329
0.01170,0.01348
0.01174,0.01366
0.01188,0.01385
0.01193,0.01385
0.01212,0.01422
0.01221,0.01441
0.01254,0.01479
0.01273,0.01479
0.01305,0.01497
0.01324,0.01535
0.01357,0.01553
0.01371,0.01572
0.01390,0.01610
0.01418,0.01666
0.01427,0.01666
0.01441,0.01666
0.01446,0.01684
0.01460,0.01684
0.01488,0.01703
0.01511,0.01703
0.01521,0.01722
0.01544,0.01722
0.01558,0.01722
0.01567,0.01722
0.01596,0.01759
0.01600,0.01778
0.01610,0.01797
0.01619,0.01834
0.01628,0.01853
0.01656,0.01872
0.01675,0.01872
0.01694,0.01909
0.01708,0.01928
0.01755,0.01965
0.01769,0.01965
0.01778,0.01965
0.01792,0.01965
0.01811,0.01965
0.01820,0.01965
0.01825,0.01965
0.01839,0.01965
0.01844,0.01984
0.01858,0.01984
0.01867,0.01984
