FPR_Class0,TPR_Class0
0.00000,0.00000
0.00000,0.00047
0.00000,0.00233
0.00031,0.00233
0.00031,0.01027
0.00031,0.01120
0.00031,0.01167
0.00031,0.01447
0.00031,0.01541
0.00031,0.01727
0.00031,0.01821
0.00031,0.02054
0.00031,0.02148
0.00031,0.02194
0.00031,0.02288
0.00031,0.02614
0.00031,0.02801
0.00031,0.03035
0.00031,0.03128
0.00031,0.03315
0.00031,0.03595
0.00031,0.03641
0.00031,0.03828
0.00031,0.03875
0.00031,0.03968
0.00031,0.04015
0.00031,0.04155
0.00031,0.04202
0.00031,0.04342
0.00031,0.04388
0.00031,0.04482
0.00031,0.04575
0.00031,0.04762
0.00031,0.05462
0.00031,0.05556
0.00031,0.05696
0.00062,0.05696
0.00062,0.05789
0.00062,0.05882
0.00062,0.05929
0.00062,0.06069
0.00062,0.06116
0.00062,0.06209
0.00062,0.06349
0.00062,0.06443
0.00062,0.06583
0.00094,0.06629
0.00094,0.06816
0.00125,0.06816
0.00125,0.07236
0.00125,0.07423
0.00125,0.07470
0.00125,0.07563
0.00125,0.07843
0.00125,0.07937
0.00156,0.07937
0.00156,0.08403
0.00156,0.08543
0.00156,0.08683
0.00187,0.08683
0.00187,0.09010
0.00219,0.09010
0.00219,0.09244
0.00219,0.09337
0.00219,0.09524
0.00250,0.09524
0.00250,0.09664
0.00250,0.09757
0.00250,0.09851
0.00250,0.10037
0.00250,0.10084
0.00281,0.10084
0.00281,0.10458
0.00281,0.10551
0.00281,0.10691
0.00312,0.10691
0.00312,0.10878
0.00312,0.10971
0.00312,0.11111
0.00312,0.11204
0.00312,0.12045
0.00312,0.12185
0.00312,0.12512
0.00312,0.12605
0.00312,0.12838
0.00344,0.12838
0.00344,0.12979
0.00344,0.13119
0.00375,0.13119
0.00375,0.14893
0.00375,0.14986
0.00375,0.15219
0.00406,0.15219
0.00406,0.15453
0.00437,0.15453
0.00437,0.15780
0.00469,0.15780
0.00469,0.16480
0.00500,0.16480
0.00500,0.16807
0.00500,0.16900
0.00500,0.17180
0.00531,0.17180
0.00531,0.18254
0.00531,0.18347
0.00531,0.18394
0.00562,0.18394
0.00562,0.18954
0.00562,0.19048
0.00562,0.19234
0.00594,0.19234
0.00594,0.21055
0.00625,0.21055
0.00625,0.21148
0.00656,0.21148
0.00656,0.21242
0.00687,0.21242
0.00687,0.21615
0.00687,0.21709
0.00687,0.21895
0.00687,0.21989
0.00687,0.22549
0.00687,0.22642
0.00687,0.23063
0.00719,0.23063
0.00719,0.23156
0.00750,0.23156
0.00750,0.23810
0.00750,0.23903
0.00750,0.24463
0.00781,0.24510
0.00781,0.24837
0.00812,0.24837
0.00812,0.24883
0.00843,0.24883
0.00843,0.25023
0.00875,0.25023
0.00875,0.25070
0.00937,0.25070
0.00937,0.25257
0.00968,0.25257
0.00968,0.25350
0.01000,0.25350
0.01000,0.25817
0.01000,0.25910
0.01031,0.25910
0.01031,0.26050
0.01031,0.26144
0.01031,0.27311
0.01093,0.27311
0.01125,0.27311
0.01125,0.27404
0.01156,0.27404
0.01156,0.27498
0.01218,0.27498
0.01218,0.27544
0.01250,0.27544
0.01250,0.27684
0.01281,0.27684
0.01281,0.27918
0.01343,0.27918
0.01343,0.27965
0.01375,0.27965
0.01375,0.28058
0.01437,0.28058
0.01437,0.28198
0.01468,0.28198
0.01468,0.28992
0.01531,0.28992
0.01531,0.29272
0.01562,0.29272
0.01562,0.29785
0.01593,0.29785
0.01593,0.29925
0.01624,0.29925
0.01624,0.30065
0.01687,0.30065
0.01687,0.30532
0.01718,0.30532
0.01718,0.30672
0.01749,0.30672
0.01749,0.31186
0.01781,0.31186
0.01781,0.31653
0.01812,0.31653
0.01812,0.31886
0.01843,0.31886
0.01843,0.32120
0.01843,0.32213
0.01843,0.32493
0.01906,0.32493
0.01906,0.32913
0.01937,0.32913
0.01937,0.33007
0.01968,0.33007
0.01968,0.33053
0.01999,0.33053
0.01999,0.33333
0.02062,0.33333
0.02062,0.33520
0.02093,0.33520
0.02093,0.33754
0.02124,0.33800
0.02156,0.33800
0.02156,0.33940
0.02187,0.33940
0.02187,0.34034
0.02249,0.34034
0.02249,0.34874
0.02281,0.34874
0.02281,0.35107
0.02312,0.35107
0.02312,0.35294
0.02343,0.35294
0.02343,0.35387
0.02437,0.35387
0.02437,0.35621
0.02468,0.35621
0.02468,0.35994
0.02562,0.35994
0.02562,0.36041
0.02624,0.36041
0.02624,0.36275
0.02687,0.36275
0.02687,0.36415
0.02718,0.36415
0.02718,0.36695
0.02749,0.36695
0.02749,0.36835
0.02780,0.36835
0.02780,0.36975
0.02843,0.36975
0.02843,0.37068
0.02874,0.37068
0.02874,0.37208
0.02905,0.37208
0.02905,0.37395
0.02937,0.37395
0.02937,0.37582
0.02999,0.37582
0.02999,0.37675
0.03030,0.37675
0.03030,0.37768
0.03062,0.37768
0.03062,0.37815
0.03155,0.37815
0.03155,0.37908
0.03187,0.37908
0.03187,0.38282
0.03218,0.38282
0.03218,0.38375
0.03249,0.38375
0.03249,0.38469
0.03280,0.38469
0.03280,0.38609
0.03311,0.38609
0.03311,0.38749
0.03343,0.38749
0.03343,0.38936
0.03374,0.38936
0.03374,0.38982
0.03405,0.38982
0.03405,0.39216
0.03436,0.39216
0.03436,0.39262
0.03468,0.39262
0.03468,0.39636
0.03499,0.39636
0.03499,0.39776
0.03530,0.39776
0.03530,0.39916
0.03561,0.39916
0.03561,0.40149
0.03624,0.40149
0.03624,0.40336
0.03655,0.40336
0.03655,0.40430
0.03686,0.40430
0.03686,0.40476
0.03718,0.40476
0.03718,0.40570
0.03749,0.40570
0.03749,0.40616
0.03780,0.40616
0.03780,0.40896
0.03811,0.40896
0.03811,0.41130
0.03843,0.41130
0.03843,0.41363
0.03874,0.41363
0.03874,0.41457
0.03905,0.41457
0.03905,0.41643
0.03936,0.41643
0.03936,0.41830
0.03968,0.41830
0.03968,0.42110
0.03999,0.42110
0.03999,0.42204
0.04030,0.42204
0.04030,0.42344
0.04061,0.42344
0.04061,0.42904
0.04092,0.42904
0.04092,0.43044
0.04124,0.43044
0.04124,0.43277
0.04155,0.43277
0.04155,0.43324
0.04186,0.43324
0.04186,0.43464
0.04217,0.43464
0.04217,0.44024
0.04249,0.44024
0.04249,0.44258
0.04280,0.44258
0.04280,0.44304
0.04311,0.44304
0.04311,0.44538
0.04405,0.44538
0.04405,0.44631
0.04436,0.44631
0.04436,0.44958
0.04467,0.44958
0.04467,0.45098
0.04499,0.45098
0.04499,0.45612
0.04530,0.45612
0.04530,0.45658
0.04561,0.45658
0.04561,0.45705
0.04592,0.45705
0.04592,0.45985
0.04655,0.45985
0.04655,0.46032
0.04686,0.46032
0.04686,0.46125
0.04717,0.46125
0.04717,0.46172
0.04811,0.46172
0.04811,0.46312
0.04873,0.46312
0.04873,0.46359
0.04905,0.46359
0.04905,0.46545
0.04936,0.46545
0.04936,0.46639
0.04967,0.46639
0.04967,0.46872
0.05030,0.46872
0.05030,0.46919
0.05061,0.46919
0.05061,0.47152
0.05092,0.47152
0.05092,0.47246
0.05155,0.47246
0.05155,0.47292
0.05186,0.47292
0.05186,0.47432
0.05342,0.47432
0.05342,0.47526
0.05373,0.47526
0.05373,0.47759
0.05467,0.47759
0.05467,0.47806
0.05561,0.47806
0.05561,0.48039
0.05592,0.48039
0.05592,0.48133
0.05623,0.48133
0.05623,0.48179
0.05654,0.48179
0.05654,0.48226
0.05748,0.48226
0.05748,0.48459
0.05842,0.48459
0.05842,0.48553
0.05873,0.48553
0.05873,0.48646
0.05904,0.48646
0.05904,0.48833
0.05936,0.48833
0.05936,0.48926
0.05967,0.48926
0.05967,0.48973
0.06092,0.48973
0.06092,0.49113
0.06186,0.49113
0.06186,0.49160
0.06248,0.49160
0.06248,0.49346
0.06279,0.49346
0.06279,0.49393
0.06311,0.49393
0.06311,0.49486
0.06435,0.49486
0.06435,0.49673
0.06467,0.49673
0.06467,0.49860
0.06498,0.49860
0.06498,0.49953
0.06560,0.49953
0.06560,0.50467
0.06592,0.50467
0.06592,0.50514
0.06623,0.50514
0.06623,0.50700
0.06654,0.50700
0.06654,0.50794
0.06685,0.50794
0.06685,0.50840
0.06717,0.50840
0.06717,0.51167
0.06748,0.51167
0.06748,0.51261
0.06779,0.51261
0.06779,0.51354
0.06810,0.51354
0.06810,0.51494
0.06842,0.51494
0.06842,0.51541
0.06873,0.51541
0.06873,0.51681
0.06904,0.51681
0.06904,0.51914
0.06935,0.51914
0.06935,0.51961
0.06967,0.51961
0.06967,0.52381
0.06998,0.52381
0.06998,0.52521
0.07029,0.52521
0.07029,0.52661
0.07060,0.52661
0.07060,0.52754
0.07123,0.52754
0.07123,0.53035
0.07154,0.53035
0.07154,0.53128
0.07185,0.53128
0.07185,0.53175
0.07216,0.53175
0.07216,0.53221
0.07310,0.53221
0.07310,0.53361
0.07341,0.53361
0.07341,0.53501
0.07373,0.53501
