FPR_Micro,TPR_Micro
0.00000,0.00000
0.00253,0.00000
0.00356,0.00000
0.00454,0.00019
0.00510,0.00019
0.00543,0.00037
0.00547,0.00037
0.00561,0.00075
0.00576,0.00075
0.00599,0.00075
0.00608,0.00112
0.00613,0.00187
0.00627,0.00225
0.00636,0.00318
0.00650,0.00374
0.00664,0.00449
0.00674,0.00524
0.00688,0.00561
0.00735,0.00636
0.00767,0.00674
0.00777,0.00711
0.00800,0.00730
0.00824,0.00730
0.00866,0.00749
0.00917,0.00767
0.00936,0.00805
0.00969,0.00805
0.01062,0.00842
0.01081,0.00880
0.01118,0.00898
0.01151,0.00898
0.01203,0.00936
0.01296,0.00955
0.01376,0.00955
0.01441,0.00973
0.01502,0.01029
0.01553,0.01067
0.01600,0.01086
0.01661,0.01104
0.01708,0.01123
0.01778,0.01142
0.01844,0.01179
0.01890,0.01179
0.01914,0.01198
0.01946,0.01217
0.02012,0.01235
0.02049,0.01235
0.02073,0.01329
0.02096,0.01348
0.02124,0.01348
0.02138,0.01366
0.02148,0.01366
0.02162,0.01404
0.02166,0.01441
0.02171,0.01460
0.02180,0.01460
0.02194,0.01479
0.02194,0.01516
0.02208,0.01553
0.02218,0.01610
0.02218,0.01628
0.02232,0.01666
0.02237,0.01666
0.02241,0.01684
0.02246,0.01684
0.02246,0.01703
0.02251,0.01759
0.02251,0.01778
0.02255,0.01797
0.02255,0.01853
0.02255,0.01890
0.02260,0.01890
0.02260,0.01909
0.02260,0.02021
0.02265,0.02059
0.02265,0.02096
0.02269,0.02096
0.02269,0.02152
0.02269,0.02190
0.02269,0.02227
0.02269,0.02265
0.02269,0.02321
0.02274,0.02321
0.02274,0.02358
0.02274,0.02414
0.02274,0.02564
0.02274,0.02658
0.02274,0.02695
0.02279,0.02714
0.02283,0.02714
0.02283,0.02826
0.02283,0.02882
0.02283,0.02920
0.02283,0.02957
0.02283,0.02995
0.02283,0.03013
0.02283,0.03051
0.02283,0.03069
0.02283,0.03107
0.02283,0.03200
0.02283,0.03257
0.02283,0.03294
0.02288,0.03294
0.02293,0.03313
0.02293,0.03331
0.02293,0.03369
0.02293,0.03481
0.02293,0.03519
0.02293,0.03593
0.02293,0.03631
0.02293,0.03650
0.02293,0.03706
0.02293,0.03781
0.02293,0.03837
0.02293,0.03893
0.02293,0.03930
0.02293,0.03968
0.02293,0.04043
0.02293,0.04080
0.02293,0.04136
0.02293,0.04211
0.02293,0.04230
0.02293,0.04267
0.02293,0.04323
0.02293,0.04398
0.02297,0.04398
0.02297,0.04454
0.02297,0.04529
0.02297,0.04585
0.02297,0.04716
0.02297,0.04791
0.02297,0.04810
0.02302,0.04847
0.02302,0.04885
0.02302,0.04941
0.02307,0.04978
0.02307,0.05016
0.02307,0.05035
0.02311,0.05053
0.02311,0.05109
0.02311,0.05147
0.02311,0.05203
0.02311,0.05241
0.02316,0.05259
0.02316,0.05278
0.02316,0.05353
0.02316,0.05372
0.02316,0.05428
0.02316,0.05446
0.02316,0.05503
0.02316,0.05577
0.02316,0.05596
0.02316,0.05671
0.02316,0.05727
0.02316,0.05765
0.02316,0.05802
0.02316,0.05839
0.02316,0.05877
0.02316,0.05914
0.02316,0.05989
0.02316,0.06027
0.02316,0.06064
0.02316,0.06120
0.02316,0.06158
0.02316,0.06214
0.02316,0.06251
0.02316,0.06289
0.02316,0.06326
0.02316,0.06382
0.02316,0.06420
0.02316,0.06494
0.02316,0.06532
0.02316,0.06551
0.02316,0.06588
0.02316,0.06644
0.02321,0.06719
0.02321,0.06738
0.02321,0.06794
0.02321,0.06813
0.02321,0.06850
0.02321,0.06962
0.02321,0.07075
0.02321,0.07093
0.02321,0.07131
0.02321,0.07150
0.02321,0.07224
0.02321,0.07281
0.02321,0.07318
0.02321,0.07337
0.02321,0.07412
0.02321,0.07449
0.02321,0.07524
0.02325,0.07599
0.02325,0.07617
0.02325,0.07748
0.02325,0.07786
0.02325,0.07823
0.02325,0.07879
0.02325,0.07954
0.02325,0.08010
0.02325,0.08085
0.02325,0.08104
0.02325,0.08141
0.02325,0.08179
0.02325,0.08254
0.02325,0.08329
0.02325,0.08478
0.02325,0.08497
0.02325,0.08572
0.02325,0.08609
0.02325,0.08647
0.02325,0.08684
0.02325,0.08722
0.02325,0.08759
0.02325,0.08834
0.02325,0.08928
0.02325,0.09002
0.02325,0.09021
0.02325,0.09133
0.02325,0.09190
0.02325,0.09227
0.02325,0.09264
0.02325,0.09339
0.02330,0.09377
0.02330,0.09414
0.02330,0.09489
0.02330,0.09545
0.02330,0.09564
0.02330,0.09601
0.02330,0.09620
0.02330,0.09657
0.02330,0.09826
0.02330,0.09863
0.02330,0.09920
0.02330,0.09957
0.02330,0.09976
0.02335,0.09994
0.02335,0.10051
0.02335,0.10088
0.02335,0.10107
0.02335,0.10182
0.02335,0.10200
0.02335,0.10313
0.02335,0.10350
0.02335,0.10406
0.02335,0.10444
0.02335,0.10500
0.02335,0.10556
0.02335,0.10593
0.02335,0.10668
0.02335,0.10706
0.02335,0.10724
0.02335,0.10949
0.02335,0.10986
0.02335,0.11005
0.02344,0.11024
0.02344,0.11042
0.02344,0.11117
0.02344,0.11155
0.02344,0.11230
