OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,AgeinDays,HasName,Hour,Weekday,Month,Year,TimeofDay,IsMix,SimpleBreed,SimpleColor,Intact,Sex,Lifestage
3,16,1,2,1221,130,365.0,1,18,4,2,2014,0,1,181,4,0,1,0
2,15,0,3,640,167,365.0,1,12,1,10,2013,1,1,80,8,0,0,0
0,6,1,2,1066,86,730.0,1,12,7,1,2015,1,1,159,3,0,1,0
4,12,0,1,640,42,21.0,0,19,6,7,2014,0,1,80,3,1,1,1
4,12,1,2,914,274,730.0,0,12,6,11,2013,1,0,127,23,0,1,0
4,12,1,0,369,36,30.0,1,13,6,4,2014,1,0,52,2,1,0,1
4,12,0,1,640,63,21.0,1,13,7,3,2015,1,1,80,3,1,1,1
4,12,0,4,640,104,21.0,0,17,5,4,2015,0,1,80,4,2,2,1
0,16,1,3,45,250,150.0,1,17,3,2,2014,0,1,10,18,0,0,1
0,11,1,3,364,318,365.0,0,7,7,5,2014,2,0,52,27,0,0,0
4,14,0,4,640,5,730.0,0,15,5,12,2013,1,1,80,2,2,2,0
0,16,1,3,980,263,730.0,0,14,2,11,2013,1,1,137,22,0,0,0
0,6,1,2,1066,88,1460.0,1,11,4,2,2016,1,1,159,4,0,1,0
3,16,1,2,1365,33,730.0,1,16,2,6,2015,0,1,219,2,0,1,0
3,16,1,2,764,338,365.0,1,15,4,11,2015,1,1,104,27,0,1,0
0,6,0,2,640,220,90.0,1,12,7,7,2014,1,1,80,16,0,1,1
4,12,0,1,640,104,21.0,0,16,7,5,2014,0,1,80,4,1,1,1
4,12,1,0,1066,130,14.0,0,12,7,6,2014,1,1,159,4,1,0,1
4,12,0,0,72,318,730.0,1,11,7,5,2014,1,1,14,27,1,0,0
3,16,1,2,681,5,365.0,1,17,4,7,2014,0,1,95,2,0,1,0
4,12,1,1,1158,38,60.0,1,15,1,1,2014,1,1,168,2,1,1,1
4,12,0,3,640,318,365.0,1,15,6,9,2015,1,1,80,27,0,0,0
0,16,1,3,1109,98,730.0,1,14,7,8,2015,1,0,161,4,0,0,0
0,16,1,2,696,130,300.0,1,16,2,10,2013,0,1,98,4,0,1,1
3,16,1,2,696,25,60.0,1,17,4,4,2014,0,1,98,2,0,1,1
4,12,0,0,640,216,30.0,1,15,7,10,2015,1,1,80,16,1,0,1
0,16,1,3,55,165,180.0,1,17,6,1,2016,0,1,12,7,0,0,1
0,16,1,3,450,353,1825.0,1,18,4,3,2015,0,1,61,27,0,0,0
0,16,0,3,640,168,60.0,1,13,7,11,2015,1,1,80,8,0,0,1
3,16,0,2,1207,41,2555.0,1,14,5,7,2015,1,1,174,3,0,1,0
2,15,0,3,640,139,1095.0,0,13,6,1,2016,1,1,80,6,0,0,0
4,12,1,1,847,38,120.0,1,15,4,7,2015,1,1,124,2,1,1,1
0,16,0,3,640,291,60.0,0,17,5,7,2014,0,1,80,24,0,0,1
3,16,1,2,540,114,1825.0,1,13,6,11,2013,1,0,67,4,0,1,0
4,12,1,2,450,88,1095.0,1,16,7,4,2015,0,1,61,4,0,1,0
2,15,1,1,847,358,1095.0,0,14,6,12,2013,1,1,124,28,1,1,0
3,16,1,2,1066,130,1095.0,1,11,5,10,2013,1,1,159,4,0,1,0
4,12,0,1,640,86,60.0,0,13,4,7,2014,1,1,80,3,1,1,1
4,12,0,2,640,38,120.0,1,0,3,8,2015,3,1,80,2,0,1,1
4,12,0,1,640,104,21.0,0,12,3,7,2015,1,1,80,4,1,1,1
0,16,0,3,640,63,2555.0,1,17,7,4,2015,0,1,80,3,0,0,0
4,12,0,1,640,216,60.0,0,13,3,6,2015,1,1,80,16,1,1,1
4,12,0,0,640,104,60.0,1,15,2,12,2013,1,1,80,4,1,0,1
4,14,0,1,632,38,1460.0,0,15,3,1,2014,1,1,78,2,1,1,0
0,16,0,2,640,38,730.0,1,15,4,5,2014,1,1,80,2,0,1,0
3,16,1,2,166,307,4380.0,1,7,4,8,2014,2,0,22,26,0,1,0
3,16,0,3,640,320,3285.0,1,11,3,8,2014,1,1,80,27,0,0,0
4,12,0,0,640,5,21.0,0,11,3,5,2015,1,1,80,2,1,0,1
0,16,1,3,696,25,150.0,1,17,2,3,2015,0,1,98,2,0,0,1
2,0,1,1,1091,165,2190.0,0,15,4,10,2013,1,0,159,7,1,1,0
4,14,0,0,640,296,365.0,0,9,2,7,2014,2,1,80,25,1,0,0
0,16,0,3,640,104,90.0,1,18,2,10,2015,0,1,80,4,0,0,1
4,12,0,0,640,68,21.0,0,17,5,6,2014,0,1,80,3,1,0,1
0,16,1,2,234,204,730.0,1,12,5,5,2015,1,1,35,12,0,1,0
0,16,0,3,640,220,60.0,1,16,3,11,2014,0,1,80,16,0,0,1
4,12,0,1,640,5,7.0,0,15,1,10,2015,1,1,80,2,1,1,1
0,16,0,3,640,139,60.0,1,13,1,8,2015,1,1,80,6,0,0,1
4,12,1,1,450,274,365.0,0,16,6,7,2014,0,1,61,23,1,1,0
3,16,1,3,214,276,1460.0,1,14,3,9,2014,1,1,33,23,0,0,0
0,16,1,2,577,130,730.0,1,12,2,7,2014,1,0,70,4,0,1,0
4,12,0,1,640,220,365.0,1,13,4,8,2015,1,1,80,16,1,1,0
2,15,1,3,1365,114,4015.0,1,18,6,5,2014,0,1,219,4,0,0,0
4,12,0,0,640,5,30.0,1,15,3,10,2015,1,1,80,2,1,0,1
0,16,1,3,559,289,730.0,1,11,4,9,2015,1,1,70,23,0,0,0
4,12,0,4,640,5,14.0,0,17,5,7,2014,0,1,80,2,2,2,1
3,16,1,3,924,318,2190.0,1,18,3,10,2015,0,1,130,27,0,0,0
4,12,1,2,1116,38,180.0,1,15,2,12,2014,1,1,163,2,0,1,1
4,12,1,0,662,131,60.0,1,15,3,9,2015,1,0,85,5,1,0,1
4,14,0,4,640,111,60.0,0,9,3,6,2015,2,1,80,4,2,2,1
0,16,1,3,450,226,365.0,1,18,7,5,2014,0,1,61,18,0,0,0
0,16,1,2,1329,88,60.0,1,17,4,4,2014,0,1,211,4,0,1,1
4,12,1,2,1066,98,730.0,1,14,6,1,2016,1,1,159,4,0,1,0
0,16,1,3,718,318,1095.0,0,18,3,3,2014,0,0,98,27,0,0,0
3,16,0,0,640,5,365.0,1,11,3,8,2015,1,1,80,2,1,0,0
3,16,1,3,1365,84,1460.0,1,16,7,12,2013,0,1,219,3,0,0,0
4,12,1,3,391,274,730.0,1,14,4,8,2015,1,0,55,23,0,0,0
0,16,0,3,631,104,90.0,1,17,1,6,2014,0,0,78,4,0,0,1
2,15,0,0,640,139,365.0,0,17,6,3,2014,0,1,80,6,1,0,0
0,16,1,2,515,5,60.0,1,16,1,6,2015,0,0,64,2,0,1,1
4,14,0,3,640,38,730.0,0,19,1,12,2015,0,1,80,2,0,0,0
0,6,1,2,449,318,365.0,1,12,5,12,2015,1,0,61,27,0,1,0
2,15,0,4,640,63,14.0,0,12,3,9,2015,1,1,80,3,2,2,1
4,12,0,4,1251,260,28.0,1,18,7,5,2015,0,1,184,21,2,2,1
4,14,0,1,640,63,730.0,0,9,2,10,2015,2,1,80,3,1,1,0
2,15,1,2,1066,89,4380.0,1,17,2,2,2015,0,1,159,4,0,1,0
0,16,1,2,577,130,365.0,0,18,1,9,2014,0,0,70,4,0,1,0
0,6,0,2,640,5,60.0,1,15,7,7,2015,1,1,80,2,0,1,1
4,12,0,1,640,5,14.0,0,15,3,7,2015,1,1,80,2,1,1,1
4,12,1,0,847,38,90.0,0,18,7,4,2014,0,1,124,2,1,0,1
0,16,0,3,637,139,90.0,0,15,2,11,2013,1,1,79,6,0,0,1
0,16,1,2,1105,98,150.0,1,14,3,12,2015,1,1,161,4,0,1,1
0,16,1,3,322,5,1095.0,1,14,1,2,2016,1,0,42,2,0,0,0
4,12,1,3,908,320,2555.0,1,11,5,4,2014,1,0,127,27,0,0,0
2,0,1,3,696,36,730.0,1,18,6,2,2015,0,1,98,2,0,0,0
0,6,0,3,640,5,120.0,1,15,2,12,2014,1,1,80,2,0,0,1
0,16,1,3,192,329,3285.0,1,14,1,11,2015,1,0,22,27,0,0,0
4,12,1,2,249,38,210.0,1,15,1,12,2015,1,1,39,2,0,1,1
0,16,0,2,640,38,60.0,0,19,2,7,2014,0,1,80,2,0,1,1
4,14,0,1,640,38,1095.0,0,9,6,10,2014,2,1,80,2,1,1,0
0,16,1,2,280,194,1095.0,0,16,4,1,2015,0,1,40,12,0,1,0
0,16,1,2,450,289,1825.0,1,17,5,5,2014,0,1,61,23,0,1,0
4,12,1,2,307,98,1825.0,1,12,5,1,2016,1,1,42,4,0,1,0
4,12,0,0,637,41,14.0,0,11,4,10,2013,1,1,79,3,1,0,1
4,12,0,4,640,5,14.0,0,14,1,7,2015,1,1,80,2,2,2,1
4,12,0,3,640,291,1460.0,1,14,5,1,2014,1,1,80,24,0,0,0
3,16,1,2,365,289,1460.0,1,18,4,4,2015,0,1,52,23,0,1,0
0,16,0,2,640,104,60.0,1,18,1,7,2015,0,1,80,4,0,1,1
3,16,1,3,450,36,730.0,1,12,6,12,2013,1,1,61,2,0,0,0
