TrainingTime,InferenceTime,LocalValAccuracy,LocalTestAccuracy,LocalValMicroAUC,LocalValMacroAUC,TestMicroAUC,TestMacroAUC,RoundId,ModelArchType,ClientId,TotalDataPoints,NewDataPoints
0.00510,0.00234,0.34615,0.40260,0.94771,0.94771,0.62728,0.62728,0,NeuralNetwork-A,0,18,18
0.00240,0.00179,0.34615,0.40260,0.61765,0.61765,0.62728,0.62728,0,NeuralNetwork-A,1,22,22
0.00292,0.00344,0.32000,0.40260,0.58456,0.58456,0.62728,0.62728,0,NeuralNetwork-A,2,18,18
0.01965,0.00273,0.65385,0.40260,0.97386,0.97386,0.53576,0.53576,1,NeuralNetwork-A,0,36,18
0.01832,0.00253,0.34615,0.40260,0.60131,0.60131,0.73492,0.73492,1,NeuralNetwork-A,1,44,22
0.01830,0.00237,0.32000,0.40260,0.77206,0.77206,0.79663,0.79663,1,NeuralNetwork-A,2,36,18
0.01895,0.00417,0.53846,0.42857,0.98693,0.98693,0.59818,0.59818,2,NeuralNetwork-A,0,54,18
0.03337,0.00238,0.38462,0.45455,0.49020,0.49020,0.76087,0.76087,2,NeuralNetwork-A,1,66,22
0.01880,0.00255,0.32000,0.40260,0.55147,0.55147,0.78752,0.78752,2,NeuralNetwork-A,2,54,18
0.03578,0.00236,0.65385,0.44156,0.92157,0.92157,0.69355,0.69355,3,NeuralNetwork-A,0,72,18
0.03279,0.00235,0.42308,0.45455,0.46405,0.46405,0.78050,0.78050,3,NeuralNetwork-A,1,88,22
0.02549,0.00209,0.52000,0.53247,0.75000,0.75000,0.80575,0.80575,3,NeuralNetwork-A,2,72,18
0.02828,0.00236,0.76923,0.58442,0.84314,0.84314,0.75105,0.75105,4,NeuralNetwork-A,0,90,18
0.03819,0.00191,0.73077,0.67532,0.77778,0.77778,0.83661,0.83661,4,NeuralNetwork-A,1,110,22
0.02729,0.00181,0.52000,0.64935,0.69118,0.69118,0.79663,0.79663,4,NeuralNetwork-A,2,90,18
0.04524,0.00234,0.76923,0.57143,0.88235,0.88235,0.71038,0.71038,5,NeuralNetwork-A,0,108,18
0.05993,0.00234,0.65385,0.72727,0.60784,0.60784,0.80365,0.80365,5,NeuralNetwork-A,1,132,22
0.04515,0.00224,0.56000,0.64935,0.77941,0.77941,0.82609,0.82609,5,NeuralNetwork-A,2,108,18
0.04701,0.00279,0.80769,0.64935,0.84967,0.84967,0.80365,0.80365,6,NeuralNetwork-A,0,126,18
0.06267,0.00245,0.61538,0.70130,0.67647,0.67647,0.80785,0.80785,6,NeuralNetwork-A,1,154,22
0.04022,0.00169,0.64000,0.70130,0.75735,0.75735,0.81978,0.81978,6,NeuralNetwork-A,2,126,18
0.05009,0.00169,0.80769,0.66234,0.87582,0.87582,0.74755,0.74755,7,NeuralNetwork-A,0,144,18
0.05768,0.00190,0.61538,0.72727,0.61438,0.61438,0.83450,0.83450,7,NeuralNetwork-A,1,176,22
0.04595,0.00168,0.76000,0.71429,0.76471,0.76471,0.79383,0.79383,7,NeuralNetwork-A,2,144,18
0.05872,0.00221,0.76923,0.59740,0.81046,0.81046,0.77630,0.77630,8,NeuralNetwork-A,0,162,18
0.06816,0.00181,0.69231,0.70130,0.62745,0.62745,0.81978,0.81978,8,NeuralNetwork-A,1,198,22
0.06253,0.00168,0.64000,0.71429,0.80882,0.80882,0.82819,0.82819,8,NeuralNetwork-A,2,162,18
0.06493,0.00171,0.61538,0.71429,0.71242,0.71242,0.82048,0.82048,9,NeuralNetwork-A,0,180,18
0.07026,0.00169,0.65385,0.68831,0.66993,0.66993,0.83696,0.83696,9,NeuralNetwork-A,1,220,22
0.05789,0.00294,0.60000,0.74026,0.77941,0.77941,0.84151,0.84151,9,NeuralNetwork-A,2,180,18
