InferenceTime,RoundId,LearningType,TestAccuracy,Class0Precision,Class0Recall,Class1Precision,Class1Recall,TestMicroAUC,TestMacroAUC,CM0,CM1,CM2,CM3
0.00005,0,FedAvg,0.40260,0.00000,0.00000,0.40260,1.00000,0.62728,0.62728,0,46,0,31
0.00005,1,FedAvg,0.41558,0.55556,0.10870,0.39706,0.87097,0.53857,0.53857,5,41,4,27
0.00005,2,FedAvg,0.40260,0.50000,0.02174,0.40000,0.96774,0.60379,0.60379,1,45,1,30
0.00005,3,FedAvg,0.42857,0.60000,0.13043,0.40299,0.87097,0.70126,0.70126,6,40,4,27
0.00005,4,FedAvg,0.59740,0.80000,0.43478,0.50000,0.83871,0.74194,0.74194,20,26,5,26
0.00005,5,FedAvg,0.57143,0.74074,0.43478,0.48000,0.77419,0.71388,0.71388,20,26,7,24
0.00005,6,FedAvg,0.66234,0.88462,0.50000,0.54902,0.90323,0.80295,0.80295,23,23,3,28
0.00007,7,FedAvg,0.67532,0.81818,0.58696,0.56818,0.80645,0.75526,0.75526,27,19,6,25
0.00005,8,FedAvg,0.59740,0.80000,0.43478,0.50000,0.83871,0.78121,0.78121,20,26,5,26
0.00005,9,FedAvg,0.72727,0.82051,0.69565,0.63158,0.77419,0.82959,0.82959,32,14,7,24
