TrainingTime,InferenceTime,LocalValAccuracy,LocalTestAccuracy,LocalValMicroAUC,LocalValMacroAUC,TestMicroAUC,TestMacroAUC,RoundId,ModelArchType,ClientId,TotalDataPoints,NewDataPoints
0.21230,0.03233,0.33782,0.36265,0.65230,0.72048,0.66181,0.73844,0,NeuralNetwork-A,0,710,710
0.27673,0.05619,0.33146,0.31325,0.67241,0.66472,0.65812,0.67460,0,NeuralNetwork-A,1,685,685
0.36038,0.05704,0.38920,0.40045,0.71945,0.62761,0.73619,0.70810,0,NeuralNetwork-A,2,735,735
0.62170,0.05000,0.11111,0.11003,0.53582,0.68273,0.52839,0.69768,1,NeuralNetwork-A,0,1420,710
0.49909,0.06783,0.57978,0.57111,0.80190,0.79874,0.78890,0.79857,1,NeuralNetwork-A,1,1370,685
0.60901,0.05257,0.41957,0.42740,0.75709,0.72420,0.77149,0.74824,1,NeuralNetwork-A,2,1470,735
1.15237,0.05798,0.60269,0.59618,0.84052,0.80523,0.83824,0.79708,2,NeuralNetwork-A,0,2130,710
0.91058,0.05416,0.66629,0.63623,0.83721,0.82588,0.82214,0.82187,2,NeuralNetwork-A,1,2055,685
0.82378,0.06171,0.64454,0.65906,0.82134,0.76221,0.83649,0.81582,2,NeuralNetwork-A,2,2205,735
1.01932,0.03256,0.48373,0.48278,0.80566,0.76005,0.80734,0.75570,3,NeuralNetwork-A,0,2840,710
0.67439,0.03252,0.37191,0.37575,0.75010,0.74250,0.75594,0.74853,3,NeuralNetwork-A,1,2740,685
0.71705,0.03147,0.35883,0.37725,0.74552,0.72373,0.75929,0.74565,3,NeuralNetwork-A,2,2940,735
0.86153,0.03383,0.36251,0.36714,0.74287,0.74362,0.75104,0.73768,4,NeuralNetwork-A,0,3550,710
0.83447,0.03465,0.45056,0.43189,0.77241,0.79868,0.76308,0.79723,4,NeuralNetwork-A,1,3425,685
0.87839,0.03277,0.32621,0.32597,0.74472,0.72697,0.75411,0.74822,4,NeuralNetwork-A,2,3675,735
1.00311,0.03356,0.74074,0.72754,0.86959,0.85830,0.86298,0.84458,5,NeuralNetwork-A,0,4260,710
1.00075,0.03522,0.15056,0.15157,0.62541,0.64886,0.62755,0.65988,5,NeuralNetwork-A,1,4110,685
1.27392,0.04020,0.71991,0.71295,0.84874,0.80978,0.86090,0.83389,5,NeuralNetwork-A,2,4410,735
1.17010,0.03360,0.72391,0.71183,0.86968,0.82989,0.86549,0.81478,6,NeuralNetwork-A,0,4970,710
1.12793,0.03298,0.39775,0.40943,0.79449,0.76366,0.79581,0.76080,6,NeuralNetwork-A,1,4795,685
1.20960,0.03289,0.71091,0.68862,0.83593,0.81119,0.84695,0.83518,6,NeuralNetwork-A,2,5145,735
1.58853,0.03750,0.59708,0.59019,0.83482,0.80156,0.83373,0.79241,7,NeuralNetwork-A,0,5680,710
1.63029,0.03500,0.03034,0.03406,0.58336,0.61188,0.57198,0.62328,7,NeuralNetwork-A,1,5480,685
1.48849,0.03462,0.69629,0.67665,0.84182,0.81029,0.85189,0.83604,7,NeuralNetwork-A,2,5880,735
2.10640,0.04654,0.59035,0.59506,0.82182,0.80984,0.82199,0.80243,8,NeuralNetwork-A,0,6390,710
1.54115,0.03429,0.72697,0.70621,0.86772,0.81749,0.86259,0.81749,8,NeuralNetwork-A,1,6165,685
1.75659,0.03271,0.51181,0.47567,0.78460,0.76627,0.78984,0.78707,8,NeuralNetwork-A,2,6615,735
1.85853,0.03147,0.73513,0.72343,0.87442,0.83876,0.87189,0.82759,9,NeuralNetwork-A,0,7100,710
1.78647,0.03278,0.68989,0.67328,0.85179,0.81200,0.84650,0.81655,9,NeuralNetwork-A,1,6850,685
2.00636,0.03172,0.10574,0.10741,0.64545,0.62968,0.65127,0.65741,9,NeuralNetwork-A,2,7350,735
