InferenceTime,RoundId,LearningType,TestAccuracy,Precision,Recall,TestMicroAUC,TestMacroAUC,P0,P1,P2,CM0,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,CM9,CM10,CM11,CM12,CM13,CM14,CM15,CM16,CM17,CM18,CM19,CM20,CM21,CM22,CM23,CM24
0.01248,0,EBL,0.74401,0.81817,0.74401,0.93720,0.94185,0.33333,0.32160,0.34507,562,58,28,445,0,2,7,1,1,0,2,2,144,0,5,66,2,1,426,0,33,2,36,0,849
0.01426,1,EBL,0.81475,0.85231,0.81475,0.95404,0.94906,0.26773,0.28169,0.45058,713,16,10,354,0,3,8,0,0,0,0,0,153,0,0,100,10,0,385,0,0,0,2,0,918
0.01054,2,EBL,0.81287,0.85497,0.81287,0.95819,0.95230,0.26380,0.28978,0.44642,694,17,10,372,0,2,8,0,1,0,0,0,153,0,0,91,5,0,399,0,0,0,2,0,918
0.01169,3,EBL,0.81100,0.86035,0.81100,0.95608,0.95001,0.26972,0.29064,0.43964,676,17,3,397,0,3,8,0,0,0,0,0,153,0,0,77,3,0,415,0,0,0,5,0,915
0.01002,4,EBL,0.80763,0.86144,0.80763,0.95600,0.95054,0.27247,0.28437,0.44316,665,17,3,408,0,2,8,0,1,0,0,2,151,0,0,73,3,0,419,0,0,1,4,0,915
0.00955,5,EBL,0.80951,0.86623,0.80951,0.95851,0.95124,0.27322,0.28403,0.44274,657,16,3,417,0,3,8,0,0,0,0,0,153,0,0,62,3,0,430,0,0,0,5,0,915
0.01242,6,EBL,0.81025,0.87063,0.81025,0.95817,0.95122,0.27263,0.28355,0.44382,653,17,3,420,0,2,8,0,1,0,0,0,153,0,0,54,4,0,437,0,0,0,6,0,914
0.01010,7,EBL,0.80314,0.85962,0.80314,0.95854,0.95056,0.27331,0.28651,0.44018,650,18,3,422,0,2,8,0,1,0,0,0,153,0,0,70,2,0,423,0,1,0,7,0,912
0.01008,8,EBL,0.80651,0.86834,0.80651,0.95719,0.94903,0.27462,0.29082,0.43456,643,16,3,431,0,2,8,0,1,0,0,0,153,0,0,55,2,0,438,0,0,0,7,0,913
0.01202,9,EBL,0.80726,0.86877,0.80726,0.95949,0.95045,0.27479,0.28521,0.44000,644,15,3,431,0,2,8,0,1,0,0,0,153,0,0,55,2,0,438,0,0,0,6,0,914
